focal_player_id,focal_player_name,focal_role,teammate_player_id,teammate_player_name,teammate_role,games_together,win_rate_together,focal_perf_with_teammate,teammate_perf_when_together,focal_dpm_with_teammate,teammate_dpm_when_together,focal_baseline_perf,focal_perf_delta_vs_baseline
685,Ruler,ADC,1115,Kiin,TOP,116,0.75,0.34129456321569773,0.26680576412956375,785.1465517241379,637.1810344827586,0.34129456321569773,0.0
685,Ruler,ADC,1629,Chovy,MID,116,0.75,0.34129456321569773,0.5105496212600987,785.1465517241379,772.1810344827586,0.34129456321569773,0.0
685,Ruler,ADC,1909,Canyon,JUNGLE,116,0.75,0.34129456321569773,0.2941771722503067,785.1465517241379,460.30172413793105,0.34129456321569773,0.0
685,Ruler,ADC,4259,Duro,SUPPORT,116,0.75,0.34129456321569773,0.06407752614626996,785.1465517241379,202.91379310344828,0.34129456321569773,0.0
1115,Kiin,TOP,685,Ruler,ADC,116,0.75,0.26680576412956375,0.34129456321569773,637.1810344827586,785.1465517241379,0.26680576412956375,0.0
1115,Kiin,TOP,1629,Chovy,MID,116,0.75,0.26680576412956375,0.5105496212600987,637.1810344827586,772.1810344827586,0.26680576412956375,0.0
1115,Kiin,TOP,1909,Canyon,JUNGLE,116,0.75,0.26680576412956375,0.2941771722503067,637.1810344827586,460.30172413793105,0.26680576412956375,0.0
1115,Kiin,TOP,4259,Duro,SUPPORT,116,0.75,0.26680576412956375,0.06407752614626996,637.1810344827586,202.91379310344828,0.26680576412956375,0.0
1328,Aiming,ADC,1250,ShowMaker,MID,116,0.5603448275862069,0.2526661169156101,0.013280913111761964,731.75,639.6724137931035,0.2526661169156101,0.0
1328,Aiming,ADC,2184,BeryL,SUPPORT,116,0.5603448275862069,0.2526661169156101,0.12217815069355303,731.75,226.7844827586207,0.2526661169156101,0.0
1328,Aiming,ADC,3895,Lucid,JUNGLE,116,0.5603448275862069,0.2526661169156101,0.005212163288051836,731.75,418.07758620689657,0.2526661169156101,0.0
1328,Aiming,ADC,5392,Siwoo,TOP,116,0.5603448275862069,0.2526661169156101,0.0581632685095683,731.75,595.7758620689655,0.2526661169156101,0.0
1629,Chovy,MID,685,Ruler,ADC,116,0.75,0.5105496212600987,0.34129456321569773,772.1810344827586,785.1465517241379,0.5105496212600987,0.0
1629,Chovy,MID,1115,Kiin,TOP,116,0.75,0.5105496212600987,0.26680576412956375,772.1810344827586,637.1810344827586,0.5105496212600987,0.0
1629,Chovy,MID,1909,Canyon,JUNGLE,116,0.75,0.5105496212600987,0.2941771722503067,772.1810344827586,460.30172413793105,0.5105496212600987,0.0
1629,Chovy,MID,4259,Duro,SUPPORT,116,0.75,0.5105496212600987,0.06407752614626996,772.1810344827586,202.91379310344828,0.5105496212600987,0.0
1909,Canyon,JUNGLE,685,Ruler,ADC,116,0.75,0.2941771722503067,0.34129456321569773,460.30172413793105,785.1465517241379,0.2941771722503067,0.0
1909,Canyon,JUNGLE,1115,Kiin,TOP,116,0.75,0.2941771722503067,0.26680576412956375,460.30172413793105,637.1810344827586,0.2941771722503067,0.0
1909,Canyon,JUNGLE,1629,Chovy,MID,116,0.75,0.2941771722503067,0.5105496212600987,460.30172413793105,772.1810344827586,0.2941771722503067,0.0
1909,Canyon,JUNGLE,4259,Duro,SUPPORT,116,0.75,0.2941771722503067,0.06407752614626996,460.30172413793105,202.91379310344828,0.2941771722503067,0.0
2184,BeryL,SUPPORT,1250,ShowMaker,MID,116,0.5603448275862069,0.12217815069355303,0.013280913111761964,226.7844827586207,639.6724137931035,0.12217815069355303,0.0
2184,BeryL,SUPPORT,1328,Aiming,ADC,116,0.5603448275862069,0.12217815069355303,0.2526661169156101,226.7844827586207,731.75,0.12217815069355303,0.0
2184,BeryL,SUPPORT,3895,Lucid,JUNGLE,116,0.5603448275862069,0.12217815069355303,0.005212163288051836,226.7844827586207,418.07758620689657,0.12217815069355303,0.0
2184,BeryL,SUPPORT,5392,Siwoo,TOP,116,0.5603448275862069,0.12217815069355303,0.0581632685095683,226.7844827586207,595.7758620689655,0.12217815069355303,0.0
3895,Lucid,JUNGLE,1250,ShowMaker,MID,116,0.5603448275862069,0.005212163288051836,0.013280913111761964,418.07758620689657,639.6724137931035,0.005212163288051836,0.0
3895,Lucid,JUNGLE,1328,Aiming,ADC,116,0.5603448275862069,0.005212163288051836,0.2526661169156101,418.07758620689657,731.75,0.005212163288051836,0.0
3895,Lucid,JUNGLE,2184,BeryL,SUPPORT,116,0.5603448275862069,0.005212163288051836,0.12217815069355303,418.07758620689657,226.7844827586207,0.005212163288051836,0.0
3895,Lucid,JUNGLE,5392,Siwoo,TOP,116,0.5603448275862069,0.005212163288051836,0.0581632685095683,418.07758620689657,595.7758620689655,0.005212163288051836,0.0
4259,Duro,SUPPORT,685,Ruler,ADC,116,0.75,0.06407752614626996,0.34129456321569773,202.91379310344828,785.1465517241379,0.06407752614626996,0.0
4259,Duro,SUPPORT,1115,Kiin,TOP,116,0.75,0.06407752614626996,0.26680576412956375,202.91379310344828,637.1810344827586,0.06407752614626996,0.0
4259,Duro,SUPPORT,1629,Chovy,MID,116,0.75,0.06407752614626996,0.5105496212600987,202.91379310344828,772.1810344827586,0.06407752614626996,0.0
4259,Duro,SUPPORT,1909,Canyon,JUNGLE,116,0.75,0.06407752614626996,0.2941771722503067,202.91379310344828,460.30172413793105,0.06407752614626996,0.0
5392,Siwoo,TOP,1250,ShowMaker,MID,116,0.5603448275862069,0.0581632685095683,0.013280913111761964,595.7758620689655,639.6724137931035,0.0581632685095683,0.0
5392,Siwoo,TOP,1328,Aiming,ADC,116,0.5603448275862069,0.0581632685095683,0.2526661169156101,595.7758620689655,731.75,0.0581632685095683,0.0
5392,Siwoo,TOP,2184,BeryL,SUPPORT,116,0.5603448275862069,0.0581632685095683,0.12217815069355303,595.7758620689655,226.7844827586207,0.0581632685095683,0.0
5392,Siwoo,TOP,3895,Lucid,JUNGLE,116,0.5603448275862069,0.0581632685095683,0.005212163288051836,595.7758620689655,418.07758620689657,0.0581632685095683,0.0
1250,ShowMaker,MID,1328,Aiming,ADC,116,0.5603448275862069,0.013280913111761964,0.2526661169156101,639.6724137931035,731.75,0.013280913111761973,-8.673617379884035e-18
1250,ShowMaker,MID,2184,BeryL,SUPPORT,116,0.5603448275862069,0.013280913111761964,0.12217815069355303,639.6724137931035,226.7844827586207,0.013280913111761973,-8.673617379884035e-18
1250,ShowMaker,MID,3895,Lucid,JUNGLE,116,0.5603448275862069,0.013280913111761964,0.005212163288051836,639.6724137931035,418.07758620689657,0.013280913111761973,-8.673617379884035e-18
1250,ShowMaker,MID,5392,Siwoo,TOP,116,0.5603448275862069,0.013280913111761964,0.0581632685095683,639.6724137931035,595.7758620689655,0.013280913111761973,-8.673617379884035e-18
392,Peanut,JUNGLE,1228,Viper,ADC,113,0.6548672566371682,-0.028834620912813004,0.2341280311412783,414.7787610619469,782.1592920353983,-0.028834620912813004,0.0
392,Peanut,JUNGLE,2906,Zeka,MID,113,0.6548672566371682,-0.028834620912813004,0.0786099889231795,414.7787610619469,685.1858407079646,-0.028834620912813004,0.0
