"game_block_id","Game","Duration","player_id","player_name","role","Champion","Result","KDA","CSM","DPM","KP%"
"5","OK BRION vs DRX","29:02","2545","Morgan","TOP","KSante","Victory","=""5/0/6""","8.9","505","61.1%"
"5","OK BRION vs DRX","29:02","4865","Pollu","SUPPORT","Rell","Victory","=""0/1/15""","1.1","178","83.3%"
"5","OK BRION vs DRX","29:02","1613","Rich","TOP","Jayce","Defeat","=""0/3/1""","8.8","470","50%"
"5","OK BRION vs DRX","29:02","4753","Sponge","JUNGLE","Sejuani","Defeat","=""0/5/2""","5.7","281","100%"
"5","OK BRION vs DRX","29:02","1504","Ucal","MID","Viktor","Defeat","=""0/4/1""","8.4","506","50%"
"6","OK BRION vs DRX","41:20","4938","Andil","SUPPORT","Renata Glasc","Victory","=""0/4/16""","1.4","168","72.7%"
"6","OK BRION vs DRX","41:20","3195","Clozer","MID","Yasuo","Defeat","=""5/4/5""","9.1","451","58.8%"
"6","OK BRION vs DRX","41:20","4217","HamBak","JUNGLE","Brand","Defeat","=""3/6/11""","6.8","806","82.4%"
"6","OK BRION vs DRX","41:20","3694","Hype","ADC","Varus","Defeat","=""5/4/8""","8.3","865","76.5%"
"6","OK BRION vs DRX","41:20","5919","LazyFeel","ADC","Kalista","Victory","=""6/4/9""","8.4","669","68.2%"
"6","OK BRION vs DRX","41:20","2545","Morgan","TOP","Renekton","Defeat","=""4/4/7""","8.1","545","64.7%"
"6","OK BRION vs DRX","41:20","4865","Pollu","SUPPORT","Nautilus","Defeat","=""0/4/15""","0.9","218","88.2%"
"6","OK BRION vs DRX","41:20","1613","Rich","TOP","Gragas","Victory","=""3/3/11""","5.9","575","63.6%"
"6","OK BRION vs DRX","41:20","4753","Sponge","JUNGLE","Xin Zhao","Victory","=""6/6/4""","6.0","622","45.5%"
"6","OK BRION vs DRX","41:20","1504","Ucal","MID","Ambessa","Victory","=""7/0/10""","8.5","816","77.3%"
"7","BNK FearX vs KT Rolster","27:39","650","Bdd","MID","Viktor","Defeat","=""1/7/6""","8.3","909","87.5%"
"7","BNK FearX vs KT Rolster","27:39","3421","Clear","TOP","KSante","Victory","=""7/1/14""","5.9","585","77.8%"
"7","BNK FearX vs KT Rolster","27:39","983","Cuzz","JUNGLE","Xin Zhao","Defeat","=""2/6/4""","6.4","408","75%"
"7","BNK FearX vs KT Rolster","27:39","4943","Diable","ADC","Zeri","Victory","=""11/1/9""","10.1","963","74.1%"
"7","BNK FearX vs KT Rolster","27:39","1971","Kellin","SUPPORT","Rell","Victory","=""1/3/16""","1.0","195","63%"
"7","BNK FearX vs KT Rolster","27:39","5122","PerfecT","TOP","Jayce","Defeat","=""0/5/1""","7.8","490","12.5%"
"7","BNK FearX vs KT Rolster","27:39","4233","Raptor","JUNGLE","Wukong","Victory","=""7/2/12""","6.2","610","70.4%"
"7","BNK FearX vs KT Rolster","27:39","3326","Vicla","MID","Taliyah","Victory","=""1/1/18""","8.2","550","70.4%"
"7","BNK FearX vs KT Rolster","27:39","4572","Way","SUPPORT","Poppy","Defeat","=""2/4/3""","0.7","214","62.5%"
"7","BNK FearX vs KT Rolster","27:39","2508","deokdam","ADC","Caitlyn","Defeat","=""3/5/1""","8.9","491","50%"
"8","BNK FearX vs KT Rolster","29:31","650","Bdd","MID","Azir","Victory","=""7/0/7""","8.8","786","87.5%"
"8","BNK FearX vs KT Rolster","29:31","3421","Clear","TOP","Ambessa","Defeat","=""1/3/5""","8.5","624","100%"
"8","BNK FearX vs KT Rolster","29:31","983","Cuzz","JUNGLE","Sejuani","Victory","=""1/1/8""","6.3","518","56.2%"
"8","BNK FearX vs KT Rolster","29:31","4943","Diable","ADC","Xayah","Defeat","=""2/3/3""","10.1","719","83.3%"
"8","BNK FearX vs KT Rolster","29:31","1971","Kellin","SUPPORT","Rakan","Defeat","=""0/2/5""","0.7","141","83.3%"
"8","BNK FearX vs KT Rolster","29:31","5122","PerfecT","TOP","Jax","Victory","=""3/1/5""","8.3","524","50%"
"8","BNK FearX vs KT Rolster","29:31","4233","Raptor","JUNGLE","Jarvan IV","Defeat","=""1/3/4""","5.5","346","83.3%"
"8","BNK FearX vs KT Rolster","29:31","3326","Vicla","MID","Akali","Defeat","=""2/5/2""","8.0","540","66.7%"
"8","BNK FearX vs KT Rolster","29:31","4572","Way","SUPPORT","Lulu","Victory","=""0/1/13""","0.9","248","81.2%"
"8","BNK FearX vs KT Rolster","29:31","2508","deokdam","ADC","Jinx","Victory","=""5/3/7""","9.6","783","75%"
"9","BNK FearX vs KT Rolster","31:54","650","Bdd","MID","Yone","Victory","=""8/1/6""","9.6","599","51.9%"
"9","BNK FearX vs KT Rolster","31:54","3421","Clear","TOP","Rumble","Defeat","=""1/6/3""","6.6","832","57.1%"
"9","BNK FearX vs KT Rolster","31:54","983","Cuzz","JUNGLE","Zyra","Victory","=""7/4/9""","7.6","818","59.3%"
"9","BNK FearX vs KT Rolster","31:54","4943","Diable","ADC","Kaisa","Defeat","=""2/3/2""","9.2","523","57.1%"
"9","BNK FearX vs KT Rolster","31:54","1971","Kellin","SUPPORT","Leona","Defeat","=""1/7/4""","1.0","194","71.4%"
"9","BNK FearX vs KT Rolster","31:54","5122","PerfecT","TOP","Renekton","Victory","=""6/0/10""","8.1","786","59.3%"
"9","BNK FearX vs KT Rolster","31:54","4233","Raptor","JUNGLE","Maokai","Defeat","=""1/7/3""","5.0","347","57.1%"
"9","BNK FearX vs KT Rolster","31:54","3326","Vicla","MID","Corki","Defeat","=""2/4/1""","8.5","897","42.9%"
"9","BNK FearX vs KT Rolster","31:54","4572","Way","SUPPORT","Braum","Victory","=""1/1/24""","0.8","310","92.6%"
"9","BNK FearX vs KT Rolster","31:54","2508","deokdam","ADC","Ashe","Victory","=""5/1/12""","8.9","638","63%"
"10","Dplus KIA vs T1","23:24","1328","Aiming","ADC","Ezreal","Victory","=""2/1/6""","9.5","656","57.1%"
"10","Dplus KIA vs T1","23:24","2184","BeryL","SUPPORT","Leona","Victory","=""2/1/3""","1.3","186","35.7%"
"10","Dplus KIA vs T1","23:24","1242","Doran","TOP","Gragas","Defeat","=""0/1/0""","9.0","324","0%"
"10","Dplus KIA vs T1","23:24","48","Faker","MID","Yone","Defeat","=""0/2/0""","9.2","373","0%"
"10","Dplus KIA vs T1","23:24","3247","Gumayusi","ADC","Ashe","Defeat","=""1/4/1""","9.9","390","100%"
"10","Dplus KIA vs T1","23:24","1258","Keria","SUPPORT","Rell","Defeat","=""0/4/2""","1.2","164","100%"
"10","Dplus KIA vs T1","23:24","3895","Lucid","JUNGLE","Nidalee","Victory","=""3/0/6""","8.2","295","64.3%"
