game_block_id,game_id,Date,Tournament,Game,player_id,player_name,role,Champion,Result,Duration,kills,cs,golds,vision_score,total_heals_on_teammates,damage_self_mitigated,total_damage_to_champion,kills_minus_role_mean,kills_role_z,cs_minus_role_mean,cs_role_z,golds_minus_role_mean,golds_role_z,vision_score_minus_role_mean,vision_score_role_z,total_heals_on_teammates_minus_role_mean,total_heals_on_teammates_role_z,damage_self_mitigated_minus_role_mean,damage_self_mitigated_role_z,total_damage_to_champion_minus_role_mean,total_damage_to_champion_role_z
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3322,Berserker,ADC,Kaisa,Defeat,33:39,6.0,341,14971,56,0,16316,24569,1.4432432432432432,0.4418901518517915,35.747747747747724,0.6042791868375114,652.0567567567559,0.21253767900685036,17.41531531531532,1.3167436806589272,-137.82882882882882,-0.15047986433683758,5434.210810810811,1.149916412514673,1026.7666666666664,0.10989907483579399
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,2664,Pyosik,JUNGLE,Nocturne,Defeat,33:39,1.0,201,11140,38,0,28439,11956,-2.0387387387387386,-0.8361319181039072,-7.00900900900902,-0.19234695481280562,-557.1729729729723,-0.2519372388296284,-13.756756756756758,-0.8873877022975586,-269.3891891891892,-0.2013131477568494,-6490.846846846849,-0.43969529115225703,-2050.3513513513517,-0.3518326393442316
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3974,Bulldog,MID,Orianna,Defeat,33:39,4.0,262,13465,46,0,12660,24144,0.7135135135135133,0.2835370504429745,-19.78288288288286,-0.3968772414513422,261.58738738738793,0.09895406198008165,9.332432432432434,0.7663737285482153,-41.88558558558559,-0.12406241144113062,-4114.9234234234245,-0.4103261345156665,2456.7837837837833,0.319262545991567
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,1906,Life,SUPPORT,Rell,Defeat,33:39,0.0,44,7992,151,0,25052,5091,-0.7387387387387387,-0.7324146286107832,10.971171171171171,0.9837352958638672,18.387387387387207,0.012868074291067814,36.07117117117117,1.3153839145142283,-2060.3837837837837,-0.8029099171967425,7183.574774774774,0.7372140257529056,-1738.6693693693696,-0.5782284455386517
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3082,DuDu,TOP,Aurora,Defeat,33:39,3.0,249,11616,43,0,17327,35866,0.21621621621621623,0.09698290140875966,-3.446846846846853,-0.07706726548459465,-762.3504504504508,-0.30869505711635803,9.117117117117118,0.7844308780392077,-18.154954954954956,-0.09998910748651571,-14301.467567567568,-0.73073687981769,16387.707207207208,2.2554389596712308
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,4755,Jiwoo,ADC,Xayah,Victory,33:39,4.0,322,15981,30,0,9051,17059,-0.5567567567567568,-0.17046698741848137,16.747747747747724,0.28310358072856173,1662.056756756756,0.5417468369099515,-8.584684684684682,-0.6490740537478098,-137.82882882882882,-0.15047986433683758,-1830.7891891891886,-0.38740759418366477,-6483.233333333334,-0.6939272265148664
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,3327,GIDEON,JUNGLE,Xin Zhao,Victory,33:39,6.0,246,13721,63,0,39861,16251,2.9612612612612614,1.2144788399503064,37.99099099099098,1.0425798309069407,2023.8270270270277,0.9151150859621802,11.243243243243242,0.7252520317402442,-269.3891891891892,-0.2013131477568494,4931.153153153151,0.33404036061108494,2244.6486486486483,0.3851733303826254
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,4796,Fisher,MID,Viktor,Victory,33:39,2.0,228,11616,34,0,16567,21660,-1.2864864864864867,-0.5112258939805149,-53.78288288288286,-1.078973288282877,-1587.412612612612,-0.6004912072607258,-2.6675675675675663,-0.21905904143558877,-41.88558558558559,-0.12406241144113062,-207.92342342342454,-0.020733414897334518,-27.216216216216708,-0.0035367859959022875
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,738,Lehends,SUPPORT,Rakan,Victory,33:39,0.0,35,8077,131,1686,21233,5504,-0.7387387387387387,-0.7324146286107832,1.9711711711711715,0.17674600323124828,103.38738738738721,0.07235375823826332,16.071171171171173,0.586056935763114,-374.38378378378366,-0.1458934278183901,3364.5747747747737,0.3452893291190325,-1325.6693693693696,-0.4408772318952659
1,62971,2025-01-15,LCK Cup 2025,DN Freecs vs NS,1229,kingen,TOP,KSante,Victory,33:39,1.0,274,12354,38,0,69903,13683,-1.7837837837837838,-0.8001089366222671,21.553153153153147,0.48190205422201743,-24.350450450450808,-0.00986011576194316,4.117117117117118,0.35423410203944466,-18.154954954954956,-0.09998910748651571,38274.53243243243,1.9556463190940643,-5795.292792792792,-0.7976057286292157
